nome,idade,salario,gols,posicao,status
Alisson,33,5000000,0,Goleiro,Titular
Ederson,32,4800000,0,Goleiro,Reserva
Weverton,38,1200000,0,Goleiro,Reserva
Marquinhos,32,4500000,8,Zagueiro,Titular
Gabriel Magalhães,28,4200000,12,Zagueiro,Titular
Bremer,29,3900000,10,Zagueiro,Reserva
Léo Pereira,30,1800000,15,Zagueiro,Reserva
Danilo,35,2500000,12,Lateral Direito,Titular
Wesley,22,1200000,5,Lateral Direito,Reserva
Alex Sandro,35,2300000,10,Lateral Esquerdo,Titular
Douglas Santos,31,2000000,14,Lateral Esquerdo,Reserva
Casemiro,34,5500000,35,Volante,Titular
Bruno Guimarães,28,4200000,22,Volante,Titular
Éderson,27,2500000,15,Volante,Reserva
Lucas Paquetá,28,4000000,40,Meia,Titular
Vinícius Júnior,26,7000000,45,Atacante,Titular
Rayan,19,3400000,0,Atacante,Titular
Neymar,34,6000000,80,Atacante,Reserva
Endrick,19,3500000,18,Atacante,Reserva
Matheus Cunha,27,4200000,35,Centroavante,Titular
Luiz Henrique,25,3000000,30,Atacante,Reserva
